experiment_id,model,model_track,mode,dataset_pair,recipe,training_regime,adapter_mode,final_stage,status,source
qwen3_1.7b__gsm8k_then_polaris_math__sft__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+polaris_math,gsm8k -> polaris_math,SFT,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_then_polaris_math__rl__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+polaris_math,gsm8k -> polaris_math,RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_then_polaris_math__sft_plus_rl__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+polaris_math,gsm8k -> polaris_math,SFT+RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__polaris_math_then_gsm8k__sft__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+polaris_math,polaris_math -> gsm8k,SFT,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__polaris_math_then_gsm8k__rl__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+polaris_math,polaris_math -> gsm8k,RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__polaris_math_then_gsm8k__sft_plus_rl__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+polaris_math,polaris_math -> gsm8k,SFT+RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_plus_polaris_math__sft__lora__self_distill,Qwen3-1.7B,primary_backlog,mixed,gsm8k+polaris_math,gsm8k + polaris_math,SFT,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_plus_polaris_math__rl__lora__self_distill,Qwen3-1.7B,primary_backlog,mixed,gsm8k+polaris_math,gsm8k + polaris_math,RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_plus_polaris_math__sft_plus_rl__lora__self_distill,Qwen3-1.7B,primary_backlog,mixed,gsm8k+polaris_math,gsm8k + polaris_math,SFT+RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_then_triviaqa__sft__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+triviaqa,gsm8k -> triviaqa,SFT,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_then_triviaqa__rl__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+triviaqa,gsm8k -> triviaqa,RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
qwen3_1.7b__gsm8k_then_triviaqa__sft_plus_rl__lora__self_distill,Qwen3-1.7B,primary_backlog,sequential,gsm8k+triviaqa,gsm8k -> triviaqa,SFT+RL,LoRA,SELF/SPIN,planned,tasks.md mix/sequential matrix adapted to polaris_math + PLAN.md qwen3-4b + STATUS.md self-distillation
